timestamp(ms),OrientX,OrientY,OrientZ,GyroX,GyroY,GyroZ,LinearX,LinearY,LinearZ,MagX,MagY,MagZ,AcclX,AcclY,AcclZ,GravityX,GravityY,GravityZ,temperature,
"1678296419,277",,,,,,,"-0,06",,,,,,,,,,,,,
"1678296419,281",,,,,,,,"-0,03",,,,,,,,,,,,
"1678296419,284",,,,,,,,,"-0,26",,,,,,,,,,,
"1678296419,286",,,,,,,,,,"7,5625",,,,,,,,,,
"1678296419,289",,,,,,,,,,,"-14,75",,,,,,,,,
"1678296419,293",,,,,,,,,,,,"-61,0625",,,,,,,,
"1678296419,295",,,,,,,,,,,,,"0,15",,,,,,,
"1678296419,298",,,,,,,,,,,,,,"-0,33",,,,,,
"1678296419,302",,,,,,,,,,,,,,,"9,53",,,,,
"1678296419,305",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,309",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,312",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,316",,,,,,,,,,,,,,,,,,,"23",
"1678296419,342","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,345",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,347",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,351",,,,"0,001091",,,,,,,,,,,,,,,,
"1678296419,354",,,,,"0",,,,,,,,,,,,,,,
"1678296419,357",,,,,,"-0,002182",,,,,,,,,,,,,,
"1678296419,36",,,,,,,"-0,04",,,,,,,,,,,,,
"1678296419,363",,,,,,,,"-0,11",,,,,,,,,,,,
"1678296419,366",,,,,,,,,"-0,23",,,,,,,,,,,
"1678296419,37",,,,,,,,,,"7,5625",,,,,,,,,,
"1678296419,373",,,,,,,,,,,"-14,375",,,,,,,,,
"1678296419,376",,,,,,,,,,,,"-61,0625",,,,,,,,
"1678296419,379",,,,,,,,,,,,,"0,17",,,,,,,
"1678296419,381",,,,,,,,,,,,,,"-0,41",,,,,,
"1678296419,384",,,,,,,,,,,,,,,"9,56",,,,,
"1678296419,388",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,391",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,395",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,398",,,,,,,,,,,,,,,,,,,"23",
"1678296419,422","326,0625",,,,,,,,,,,,,,,,,,,
"1678296419,426",,"1,25",,,,,,,,,,,,,,,,,,
"1678296419,43",,,"1,6875",,,,,,,,,,,,,,,,,
"1678296419,433",,,,"0",,,,,,,,,,,,,,,,
"1678296419,435",,,,,"-0,001091",,,,,,,,,,,,,,,
"1678296419,438",,,,,,"0",,,,,,,,,,,,,,
"1678296419,443",,,,,,,"-0,1",,,,,,,,,,,,,
"1678296419,446",,,,,,,,"-0,03",,,,,,,,,,,,
"1678296419,449",,,,,,,,,"-0,23",,,,,,,,,,,
"1678296419,452",,,,,,,,,,"8,25",,,,,,,,,,
"1678296419,455",,,,,,,,,,,"-15,1875",,,,,,,,,
"1678296419,458",,,,,,,,,,,,"-61,875",,,,,,,,
"1678296419,461",,,,,,,,,,,,,"0,13",,,,,,,
"1678296419,464",,,,,,,,,,,,,,"-0,33",,,,,,
"1678296419,467",,,,,,,,,,,,,,,"9,54",,,,,
"1678296419,47",,,,,,,,,,,,,,,,"0,21",,,,
"1678296419,474",,,,,,,,,,,,,,,,,"-0,29",,,
"1678296419,478",,,,,,,,,,,,,,,,,,"9,79",,
"1678296419,481",,,,,,,,,,,,,,,,,,,"23",
