timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678299188,58",,,,,,,,,,,,,,,"-0,34",,,,,
"1678299188,584",,,,,,,,,,,,,,,,"9,54",,,,
"1678299188,588",,,,,,,,,,,,,,,,,"0",,,
"1678299188,593",,,,,,,,,,,,,,,,,,"0",,
"1678299188,598",,,,,,,,,,,,,,,,,,,"0",
"1678299188,601","24",,,,,,,,,,,,,,,,,,,
"1678299188,63",,"0",,,,,,,,,,,,,,,,,,
"1678299188,634",,,"0",,,,,,,,,,,,,,,,,
"1678299188,638",,,,"0",,,,,,,,,,,,,,,,
"1678299188,642",,,,,"0",,,,,,,,,,,,,,,
"1678299188,647",,,,,,"0",,,,,,,,,,,,,,
"1678299188,651",,,,,,,"0",,,,,,,,,,,,,
"1678299188,655",,,,,,,,"0",,,,,,,,,,,,
"1678299188,66",,,,,,,,,"0",,,,,,,,,,,
"1678299188,664",,,,,,,,,,"0",,,,,,,,,,
"1678299188,668",,,,,,,,,,,"0",,,,,,,,,
"1678299188,671",,,,,,,,,,,,"0",,,,,,,,
"1678299188,674",,,,,,,,,,,,,"0",,,,,,,
"1678299188,679",,,,,,,,,,,,,,"0,05",,,,,,
"1678299188,683",,,,,,,,,,,,,,,"-0,31",,,,,
"1678299188,687",,,,,,,,,,,,,,,,"9,58",,,,
"1678299188,692",,,,,,,,,,,,,,,,,"0",,,
"1678299188,696",,,,,,,,,,,,,,,,,,"0",,
"1678299188,701",,,,,,,,,,,,,,,,,,,"0",
"1678299188,704","24",,,,,,,,,,,,,,,,,,,
"1678299188,733",,"0",,,,,,,,,,,,,,,,,,
"1678299188,737",,,"0",,,,,,,,,,,,,,,,,
"1678299188,741",,,,"0",,,,,,,,,,,,,,,,
"1678299188,745",,,,,"0",,,,,,,,,,,,,,,
"1678299188,75",,,,,,"0",,,,,,,,,,,,,,
"1678299188,754",,,,,,,"0",,,,,,,,,,,,,
"1678299188,758",,,,,,,,"0",,,,,,,,,,,,
"1678299188,763",,,,,,,,,"0",,,,,,,,,,,
"1678299188,767",,,,,,,,,,"0",,,,,,,,,,
"1678299188,771",,,,,,,,,,,"0",,,,,,,,,
"1678299188,774",,,,,,,,,,,,"0",,,,,,,,
"1678299188,777",,,,,,,,,,,,,"0",,,,,,,
"1678299188,784",,,,,,,,,,,,,,"0,03",,,,,,
"1678299188,786",,,,,,,,,,,,,,,"-0,3",,,,,
"1678299188,79",,,,,,,,,,,,,,,,"9,57",,,,
"1678299188,795",,,,,,,,,,,,,,,,,"0",,,
"1678299188,799",,,,,,,,,,,,,,,,,,"0",,
"1678299188,804",,,,,,,,,,,,,,,,,,,"0",
"1678299188,807","24",,,,,,,,,,,,,,,,,,,
"1678299188,836",,"0",,,,,,,,,,,,,,,,,,
"1678299188,84",,,"0",,,,,,,,,,,,,,,,,
"1678299188,844",,,,"0",,,,,,,,,,,,,,,,
"1678299188,849",,,,,"0",,,,,,,,,,,,,,,
"1678299188,854",,,,,,"0",,,,,,,,,,,,,,
"1678299188,859",,,,,,,"0",,,,,,,,,,,,,
"1678299188,861",,,,,,,,"0",,,,,,,,,,,,
"1678299188,866",,,,,,,,,"0",,,,,,,,,,,
"1678299188,87",,,,,,,,,,"0",,,,,,,,,,
"1678299188,874",,,,,,,,,,,"0",,,,,,,,,
"1678299188,878",,,,,,,,,,,,"0",,,,,,,,
"1678299188,88",,,,,,,,,,,,,"0",,,,,,,
"1678299188,886",,,,,,,,,,,,,,"0,05",,,,,,
"1678299188,89",,,,,,,,,,,,,,,"-0,35",,,,,
"1678299188,893",,,,,,,,,,,,,,,,"9,6",,,,
"1678299188,898",,,,,,,,,,,,,,,,,"0",,,
"1678299188,902",,,,,,,,,,,,,,,,,,"0",,
"1678299188,907",,,,,,,,,,,,,,,,,,,"0",
"1678299188,91","24",,,,,,,,,,,,,,,,,,,
"1678299188,939",,"0",,,,,,,,,,,,,,,,,,
"1678299188,944",,,"0",,,,,,,,,,,,,,,,,
"1678299188,948",,,,"0",,,,,,,,,,,,,,,,
"1678299188,952",,,,,"0",,,,,,,,,,,,,,,
"1678299188,956",,,,,,"0",,,,,,,,,,,,,,
"1678299188,96",,,,,,,"0",,,,,,,,,,,,,
"1678299188,964",,,,,,,,"0",,,,,,,,,,,,
"1678299188,973",,,,,,,,,"0",,,,,,,,,,,
"1678299188,975",,,,,,,,,,"0",,,,,,,,,,
"1678299188,977",,,,,,,,,,,"0",,,,,,,,,
"1678299188,98",,,,,,,,,,,,"0",,,,,,,,
"1678299188,984",,,,,,,,,,,,,"0",,,,,,,
"1678299188,988",,,,,,,,,,,,,,"0,03",,,,,,
"1678299188,992",,,,,,,,,,,,,,,"-0,32",,,,,
"1678299188,996",,,,,,,,,,,,,,,,"9,54",,,,
"1678299189,001",,,,,,,,,,,,,,,,,"0",,,
"1678299189,006",,,,,,,,,,,,,,,,,,"0",,
"1678299189,01",,,,,,,,,,,,,,,,,,,"0",
