timestamp(ms),temperature,OrientX(deg),OrientY(deg),OrientZ(deg),GyroX(rad/s),GyroY(rad/s),GyroZ(rad/s),LinearX(m/s^2),LinearY(m/s^2),LinearZ(m/s^2),MagX(uT),MagY(uT),MagZ(uT),AcclX(m/s^2),AcclY(m/s^2),AcclZ(m/s^2),GravityX(m/s^2),GravityY(m/s^2),GravityZ(m/s^2),
"1678298652,725",,,,,,,,"0",,,,,,,,,,,,
"1678298652,73",,,,,,,,,"0",,,,,,,,,,,
"1678298652,734",,,,,,,,,,"0",,,,,,,,,,
"1678298652,737",,,,,,,,,,,"0",,,,,,,,,
"1678298652,741",,,,,,,,,,,,"0",,,,,,,,
"1678298652,744",,,,,,,,,,,,,"0",,,,,,,
"1678298652,749",,,,,,,,,,,,,,"0,04",,,,,,
"1678298652,753",,,,,,,,,,,,,,,"-0,31",,,,,
"1678298652,757",,,,,,,,,,,,,,,,"9,54",,,,
"1678298652,762",,,,,,,,,,,,,,,,,"0",,,
"1678298652,766",,,,,,,,,,,,,,,,,,"0",,
"1678298652,771",,,,,,,,,,,,,,,,,,,"0",
"1678298652,774","24",,,,,,,,,,,,,,,,,,,
"1678298652,803",,"0",,,,,,,,,,,,,,,,,,
"1678298652,807",,,"0",,,,,,,,,,,,,,,,,
"1678298652,811",,,,"0",,,,,,,,,,,,,,,,
"1678298652,815",,,,,"0",,,,,,,,,,,,,,,
"1678298652,819",,,,,,"0",,,,,,,,,,,,,,
"1678298652,823",,,,,,,"0",,,,,,,,,,,,,
"1678298652,828",,,,,,,,"0",,,,,,,,,,,,
"1678298652,832",,,,,,,,,"0",,,,,,,,,,,
"1678298652,837",,,,,,,,,,"0",,,,,,,,,,
"1678298652,84",,,,,,,,,,,"0",,,,,,,,,
"1678298652,844",,,,,,,,,,,,"0",,,,,,,,
"1678298652,848",,,,,,,,,,,,,"0",,,,,,,
"1678298652,851",,,,,,,,,,,,,,"0,07",,,,,,
"1678298652,856",,,,,,,,,,,,,,,"-0,3",,,,,
"1678298652,86",,,,,,,,,,,,,,,,"9,56",,,,
"1678298652,864",,,,,,,,,,,,,,,,,"0",,,
"1678298652,869",,,,,,,,,,,,,,,,,,"0",,
"1678298652,874",,,,,,,,,,,,,,,,,,,"0",
"1678298652,877","24",,,,,,,,,,,,,,,,,,,
"1678298652,906",,"0",,,,,,,,,,,,,,,,,,
"1678298652,91",,,"0",,,,,,,,,,,,,,,,,
"1678298652,914",,,,"0",,,,,,,,,,,,,,,,
"1678298652,918",,,,,"0",,,,,,,,,,,,,,,
"1678298652,923",,,,,,"0",,,,,,,,,,,,,,
